legal_code,status,legal_name,last_token,region_group,frame_population_dongs,frame_screened_dongs,frame_sampling_probability,frame_weight,total_units,screen_ok,screen_error
2872031024,존재,인천광역시 옹진군 북도면 장봉리,장봉리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,12,True,
2872035024,존재,인천광역시 옹진군 덕적면 소야리,소야리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,0,True,
2872036023,존재,인천광역시 옹진군 영흥면 선재리,선재리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,128,True,
2872037023,존재,인천광역시 옹진군 자월면 승봉리,승봉리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,0,True,
4111312900,존재,경기도 수원시 권선구 오목천동,오목천동,수도권(경기·인천),2280,120,0.05263157894736842,19.0,17050,True,
4111513600,존재,경기도 수원시 팔달구 매산로3가,매산로3가,수도권(경기·인천),2280,120,0.05263157894736842,19.0,1630,True,
4113110600,존재,경기도 성남시 수정구 양지동,양지동,수도권(경기·인천),2280,120,0.05263157894736842,19.0,4052,True,
4113313200,존재,경기도 성남시 중원구 중앙동,중앙동,수도권(경기·인천),2280,120,0.05263157894736842,19.0,9888,True,
4115011300,존재,경기도 의정부시 산곡동,산곡동,수도권(경기·인천),2280,120,0.05263157894736842,19.0,14330,True,
4117110200,존재,경기도 안양시 만안구 석수동,석수동,수도권(경기·인천),2280,120,0.05263157894736842,19.0,40982,True,
4119210400,존재,경기도 부천시 원미구 도당동,도당동,수도권(경기·인천),2280,120,0.05263157894736842,19.0,14320,True,
4121010400,존재,경기도 광명시 소하동,소하동,수도권(경기·인천),2280,120,0.05263157894736842,19.0,36306,True,
4122010100,존재,경기도 평택시 서정동,서정동,수도권(경기·인천),2280,120,0.05263157894736842,19.0,31446,True,
4122011700,존재,경기도 평택시 합정동,합정동,수도권(경기·인천),2280,120,0.05263157894736842,19.0,11296,True,
4122025036,존재,경기도 평택시 팽성읍 노양리,노양리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,72,True,
4122025044,존재,경기도 평택시 팽성읍 대추리,대추리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,0,True,
4122025322,존재,경기도 평택시 안중읍 학현리,학현리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,700,True,
